[ 06:56:56 ]BEB2 :24 [°C], 76.16 RH, 0.9244 bar

[ 08:33:33 ]EEEE :28 [°C], 69.11 RH, 0.9257 bar

[ 08:33:42 ]CECE :30 [°C], 64.24 RH, 0.9232 bar

[ 08:33:42 ]EEEE :28 [°C], 69.11 RH, 0.9225 bar

[ 08:33:42 ]DAD1 :30 [°C], 64.02 RH, 0.9225 bar

[ 08:33:42 ]CCCC :30 [°C], 60.70 RH, 0.9232 bar

[ 08:33:42 ]BEB2 :30 [°C], 64.34 RH, 0.9244 bar

[ 08:33:45 ]CECE :30 [°C], 64.30 RH, 0.9219 bar

[ 08:33:45 ]DAD1 :30 [°C], 64.00 RH, 0.9238 bar

[ 08:33:45 ]BEB2 :30 [°C], 64.34 RH, 0.9232 bar

[ 08:33:45 ]EEEE :28 [°C], 69.11 RH, 0.9244 bar

[ 08:33:51 ]CECE :30 [°C], 64.30 RH, 0.9238 bar

[ 08:33:51 ]DAD1 :30 [°C], 64.00 RH, 0.9238 bar

[ 08:33:51 ]EEEE :28 [°C], 69.11 RH, 0.9238 bar

[ 08:33:51 ]CCCC :30 [°C], 60.70 RH, 0.9244 bar

[ 08:33:51 ]BEB2 :30 [°C], 64.34 RH, 0.9244 bar

[ 08:33:54 ]CECE :30 [°C], 64.30 RH, 0.9244 bar

[ 08:33:54 ]CCCC :30 [°C], 60.70 RH, 0.9232 bar

[ 08:33:54 ]EEEE :28 [°C], 69.11 RH, 0.9232 bar

[ 08:33:54 ]DAD1 :30 [°C], 64.00 RH, 0.9244 bar

[ 08:33:54 ]BEB2 :30 [°C], 64.34 RH, 0.9244 bar

[ 08:33:57 ]CCCC :30 [°C], 60.76 RH, 0.9244 bar

[ 08:33:57 ]EEEE :28 [°C], 69.11 RH, 0.9232 bar

[ 08:33:57 ]CECE :30 [°C], 64.24 RH, 0.9232 bar

[ 08:33:57 ]BEB2 :30 [°C], 64.34 RH, 0.9232 bar

[ 08:33:57 ]DAD1 :30 [°C], 64.00 RH, 0.9244 bar

[ 08:34:00 ]CECE :30 [°C], 64.24 RH, 0.9244 bar

[ 08:34:00 ]EEEE :28 [°C], 69.11 RH, 0.9225 bar

[ 08:34:00 ]CCCC :30 [°C], 60.70 RH, 0.9244 bar

[ 08:34:00 ]DAD1 :30 [°C], 64.00 RH, 0.9225 bar

[ 08:34:00 ]BEB2 :30 [°C], 64.30 RH, 0.9232 bar

[ 08:34:03 ]DAD1 :30 [°C], 64.00 RH, 0.9232 bar

[ 08:34:03 ]EEEE :28 [°C], 69.14 RH, 0.9238 bar

[ 08:34:03 ]CECE :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:03 ]CCCC :30 [°C], 60.70 RH, 0.9244 bar

[ 08:34:03 ]BEB2 :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:06 ]CCCC :30 [°C], 60.70 RH, 0.9251 bar

[ 08:34:06 ]CECE :30 [°C], 64.30 RH, 0.9232 bar

[ 08:34:06 ]DAD1 :30 [°C], 64.02 RH, 0.9232 bar

[ 08:34:06 ]BEB2 :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:06 ]EEEE :28 [°C], 69.11 RH, 0.9225 bar

[ 08:34:09 ]EEEE :28 [°C], 69.14 RH, 0.9232 bar

[ 08:34:09 ]DAD1 :30 [°C], 64.02 RH, 0.9225 bar

[ 08:34:09 ]CECE :30 [°C], 64.34 RH, 0.9244 bar

[ 08:34:09 ]BEB2 :30 [°C], 64.30 RH, 0.9232 bar

[ 08:34:09 ]CCCC :30 [°C], 60.70 RH, 0.9232 bar

[ 08:34:15 ]CCCC :30 [°C], 60.67 RH, 0.9232 bar

[ 08:34:15 ]CECE :30 [°C], 64.30 RH, 0.9232 bar

[ 08:34:15 ]BEB2 :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:15 ]DAD1 :30 [°C], 64.08 RH, 0.9232 bar

[ 08:34:15 ]EEEE :28 [°C], 69.11 RH, 0.9225 bar

[ 08:34:21 ]CCCC :30 [°C], 60.67 RH, 0.9232 bar

[ 08:34:21 ]DAD1 :30 [°C], 64.08 RH, 0.9232 bar

[ 08:34:21 ]CECE :30 [°C], 64.21 RH, 0.9238 bar

[ 08:34:21 ]BEB2 :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:21 ]EEEE :28 [°C], 69.08 RH, 0.9244 bar

[ 08:34:30 ]CCCC :30 [°C], 60.59 RH, 0.9232 bar

[ 08:34:30 ]DAD1 :30 [°C], 64.08 RH, 0.9244 bar

[ 08:34:30 ]EEEE :28 [°C], 69.05 RH, 0.9232 bar

[ 08:34:30 ]CECE :30 [°C], 64.18 RH, 0.9232 bar

[ 08:34:30 ]BEB2 :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:33 ]DAD1 :30 [°C], 64.02 RH, 0.9225 bar

[ 08:34:33 ]EEEE :28 [°C], 69.09 RH, 0.9225 bar

[ 08:34:33 ]CCCC :30 [°C], 60.59 RH, 0.9232 bar

[ 08:34:33 ]CECE :30 [°C], 64.18 RH, 0.9232 bar

[ 08:34:33 ]BEB2 :30 [°C], 64.30 RH, 0.9244 bar

[ 08:34:42 ]DAD1 :30 [°C], 64.02 RH, 0.9225 bar

[ 08:34:42 ]BEB2 :30 [°C], 64.27 RH, 0.9244 bar

[ 08:34:42 ]EEEE :28 [°C], 69.00 RH, 0.9238 bar

[ 08:34:42 ]CECE :30 [°C], 64.18 RH, 0.9232 bar

[ 08:34:42 ]CCCC :30 [°C], 60.62 RH, 0.9238 bar

[ 08:34:45 ]CCCC :30 [°C], 60.62 RH, 0.9232 bar

[ 08:34:45 ]EEEE :28 [°C], 69.06 RH, 0.9257 bar

[ 08:34:45 ]DAD1 :30 [°C], 64.02 RH, 0.9225 bar

[ 08:34:45 ]CECE :30 [°C], 64.18 RH, 0.9244 bar

[ 08:34:45 ]BEB2 :30 [°C], 64.25 RH, 0.9244 bar

[ 08:34:48 ]EEEE :28 [°C], 69.06 RH, 0.9238 bar

[ 08:34:48 ]CECE :30 [°C], 64.18 RH, 0.9232 bar

[ 08:34:48 ]CCCC :30 [°C], 60.59 RH, 0.9238 bar

[ 08:34:48 ]BEB2 :30 [°C], 64.22 RH, 0.9244 bar

[ 08:34:48 ]DAD1 :30 [°C], 64.02 RH, 0.9251 bar

[ 08:34:51 ]CECE :30 [°C], 64.18 RH, 0.9232 bar

[ 08:34:51 ]EEEE :28 [°C], 69.06 RH, 0.9238 bar

[ 08:34:51 ]DAD1 :30 [°C], 64.00 RH, 0.9244 bar

[ 08:34:51 ]CCCC :30 [°C], 60.59 RH, 0.9244 bar

[ 08:34:51 ]BEB2 :30 [°C], 64.22 RH, 0.9244 bar

[ 08:35:09 ]BEB2 :30 [°C], 64.19 RH, 0.9251 bar

[ 08:35:09 ]CECE :30 [°C], 64.15 RH, 0.9244 bar

[ 08:35:09 ]CCCC :30 [°C], 60.56 RH, 0.9244 bar

[ 08:35:09 ]EEEE :28 [°C], 69.00 RH, 0.9238 bar

[ 08:35:10 ]DAD1 :30 [°C], 64.00 RH, 0.9244 bar

[ 08:35:12 ]CECE :30 [°C], 64.15 RH, 0.9244 bar

[ 08:35:12 ]DAD1 :30 [°C], 64.00 RH, 0.9232 bar

[ 08:35:12 ]BEB2 :30 [°C], 64.16 RH, 0.9244 bar

[ 08:35:13 ]EEEE :28 [°C], 69.00 RH, 0.9225 bar

[ 08:35:13 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 08:35:18 ]DAD1 :30 [°C], 64.02 RH, 0.9225 bar

[ 08:35:18 ]EEEE :28 [°C], 69.00 RH, 0.9244 bar

[ 08:35:18 ]CECE :30 [°C], 64.18 RH, 0.9219 bar

[ 08:35:19 ]CCCC :30 [°C], 60.59 RH, 0.9244 bar

[ 08:35:19 ]BEB2 :30 [°C], 64.21 RH, 0.9232 bar

[ 08:35:22 ]CCCC :30 [°C], 60.59 RH, 0.9238 bar

[ 08:35:22 ]CECE :30 [°C], 64.18 RH, 0.9232 bar

[ 08:35:22 ]DAD1 :30 [°C], 64.02 RH, 0.9238 bar

[ 08:35:22 ]BEB2 :30 [°C], 64.21 RH, 0.9244 bar

[ 08:35:22 ]EEEE :28 [°C], 68.97 RH, 0.9232 bar

[ 08:35:25 ]CCCC :30 [°C], 60.62 RH, 0.9238 bar

[ 08:35:25 ]BEB2 :30 [°C], 64.21 RH, 0.9244 bar

[ 08:35:25 ]DAD1 :30 [°C], 64.02 RH, 0.9232 bar

[ 08:35:25 ]EEEE :28 [°C], 68.97 RH, 0.9244 bar

[ 08:35:25 ]CECE :30 [°C], 64.18 RH, 0.9238 bar

[ 08:35:28 ]CECE :30 [°C], 64.12 RH, 0.9219 bar

[ 08:35:28 ]BEB2 :30 [°C], 64.18 RH, 0.9251 bar

[ 08:35:28 ]EEEE :28 [°C], 68.97 RH, 0.9244 bar

[ 08:35:28 ]CCCC :30 [°C], 60.65 RH, 0.9232 bar

[ 08:35:28 ]DAD1 :30 [°C], 64.00 RH, 0.9225 bar

[ 08:35:34 ]EEEE :28 [°C], 69.00 RH, 0.9225 bar

[ 08:35:34 ]CCCC :30 [°C], 60.67 RH, 0.9238 bar

[ 08:35:34 ]DAD1 :30 [°C], 63.97 RH, 0.9238 bar

[ 08:35:34 ]BEB2 :30 [°C], 64.11 RH, 0.9244 bar

[ 08:35:37 ]CCCC :30 [°C], 60.65 RH, 0.9232 bar

[ 08:35:37 ]DAD1 :30 [°C], 63.97 RH, 0.9232 bar

[ 08:35:37 ]BEB2 :30 [°C], 64.11 RH, 0.9244 bar

[ 08:35:37 ]CECE :30 [°C], 64.07 RH, 0.9232 bar

[ 08:35:37 ]EEEE :28 [°C], 68.97 RH, 0.9232 bar

[ 08:35:40 ]EEEE :28 [°C], 68.97 RH, 0.9225 bar

[ 08:35:40 ]CECE :30 [°C], 64.07 RH, 0.9244 bar

[ 08:35:40 ]BEB2 :30 [°C], 64.11 RH, 0.9232 bar

[ 08:35:40 ]DAD1 :30 [°C], 63.97 RH, 0.9238 bar

[ 08:35:40 ]CCCC :30 [°C], 60.59 RH, 0.9251 bar

[ 08:35:46 ]CECE :30 [°C], 64.07 RH, 0.9232 bar

[ 08:35:46 ]BEB2 :30 [°C], 64.11 RH, 0.9244 bar

[ 08:35:46 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 08:35:46 ]EEEE :28 [°C], 68.97 RH, 0.9257 bar

[ 08:35:46 ]DAD1 :30 [°C], 64.00 RH, 0.9225 bar

[ 08:35:49 ]EEEE :28 [°C], 68.97 RH, 0.9232 bar

[ 08:35:49 ]CECE :30 [°C], 64.04 RH, 0.9244 bar

[ 08:35:49 ]DAD1 :30 [°C], 63.97 RH, 0.9232 bar

[ 08:35:49 ]BEB2 :30 [°C], 64.11 RH, 0.9244 bar

[ 08:35:49 ]CCCC :30 [°C], 60.53 RH, 0.9251 bar

[ 08:35:52 ]CECE :30 [°C], 64.04 RH, 0.9232 bar

[ 08:35:52 ]EEEE :28 [°C], 68.95 RH, 0.9244 bar

[ 08:35:52 ]BEB2 :30 [°C], 64.11 RH, 0.9251 bar

[ 08:35:52 ]CCCC :30 [°C], 60.56 RH, 0.9232 bar

[ 08:35:52 ]DAD1 :30 [°C], 63.97 RH, 0.9225 bar

[ 08:35:55 ]EEEE :28 [°C], 68.95 RH, 0.9232 bar

[ 08:35:55 ]CECE :30 [°C], 64.04 RH, 0.9244 bar

[ 08:35:55 ]DAD1 :30 [°C], 63.94 RH, 0.9232 bar

[ 08:35:55 ]CCCC :30 [°C], 60.59 RH, 0.9232 bar

[ 08:35:55 ]BEB2 :30 [°C], 64.11 RH, 0.9238 bar

[ 08:35:58 ]CCCC :30 [°C], 60.56 RH, 0.9251 bar

[ 08:35:58 ]BEB2 :30 [°C], 64.11 RH, 0.9244 bar

[ 08:35:58 ]DAD1 :30 [°C], 63.94 RH, 0.9251 bar

[ 08:35:58 ]EEEE :28 [°C], 68.92 RH, 0.9244 bar

[ 08:36:01 ]EEEE :28 [°C], 68.92 RH, 0.9244 bar

[ 08:36:01 ]DAD1 :30 [°C], 63.94 RH, 0.9244 bar

[ 08:36:01 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 08:36:01 ]CECE :30 [°C], 64.07 RH, 0.9232 bar

[ 08:36:01 ]BEB2 :30 [°C], 64.14 RH, 0.9244 bar

[ 08:36:04 ]DAD1 :30 [°C], 63.94 RH, 0.9225 bar

[ 08:36:04 ]BEB2 :30 [°C], 64.14 RH, 0.9244 bar

[ 08:36:04 ]CCCC :30 [°C], 60.50 RH, 0.9232 bar

[ 08:36:04 ]CECE :30 [°C], 64.10 RH, 0.9244 bar

[ 08:36:10 ]CECE :30 [°C], 64.10 RH, 0.9251 bar

[ 08:36:10 ]EEEE :28 [°C], 68.89 RH, 0.9244 bar

[ 08:36:10 ]DAD1 :30 [°C], 63.94 RH, 0.9232 bar

[ 08:36:10 ]CCCC :30 [°C], 60.44 RH, 0.9232 bar

[ 08:36:10 ]BEB2 :30 [°C], 64.11 RH, 0.9232 bar

[ 08:36:13 ]CCCC :30 [°C], 60.38 RH, 0.9238 bar

[ 08:36:13 ]EEEE :28 [°C], 68.89 RH, 0.9232 bar

[ 08:36:13 ]DAD1 :30 [°C], 63.94 RH, 0.9232 bar

[ 08:36:13 ]CECE :30 [°C], 64.10 RH, 0.9232 bar

[ 08:36:13 ]BEB2 :30 [°C], 64.09 RH, 0.9238 bar

[ 08:36:16 ]CECE :30 [°C], 64.09 RH, 0.9232 bar

[ 08:36:16 ]EEEE :28 [°C], 68.89 RH, 0.9244 bar

[ 08:36:16 ]BEB2 :30 [°C], 64.09 RH, 0.9251 bar

[ 08:36:16 ]CCCC :30 [°C], 60.38 RH, 0.9244 bar

[ 08:36:16 ]DAD1 :30 [°C], 63.94 RH, 0.9251 bar

[ 08:36:19 ]BEB2 :30 [°C], 64.06 RH, 0.9251 bar

[ 08:36:19 ]CECE :30 [°C], 64.09 RH, 0.9232 bar

[ 08:36:19 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 08:36:19 ]DAD1 :30 [°C], 63.91 RH, 0.9238 bar

[ 08:36:19 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:36:22 ]EEEE :28 [°C], 68.89 RH, 0.9232 bar

[ 08:36:22 ]CCCC :30 [°C], 60.35 RH, 0.9251 bar

[ 08:36:22 ]DAD1 :30 [°C], 63.91 RH, 0.9251 bar

[ 08:36:22 ]CECE :30 [°C], 64.12 RH, 0.9232 bar

[ 08:36:22 ]BEB2 :30 [°C], 64.03 RH, 0.9232 bar

[ 08:36:25 ]EEEE :28 [°C], 68.89 RH, 0.9244 bar

[ 08:36:25 ]DAD1 :30 [°C], 63.91 RH, 0.9232 bar

[ 08:36:25 ]CCCC :30 [°C], 60.38 RH, 0.9251 bar

[ 08:36:25 ]BEB2 :30 [°C], 64.03 RH, 0.9251 bar

[ 08:36:25 ]CECE :30 [°C], 64.09 RH, 0.9244 bar

[ 08:36:28 ]EEEE :28 [°C], 68.89 RH, 0.9232 bar

[ 08:36:28 ]CCCC :30 [°C], 60.38 RH, 0.9244 bar

[ 08:36:28 ]DAD1 :30 [°C], 63.91 RH, 0.9238 bar

[ 08:36:28 ]CECE :30 [°C], 64.12 RH, 0.9232 bar

[ 08:36:28 ]BEB2 :30 [°C], 64.00 RH, 0.9232 bar

[ 08:36:34 ]CECE :30 [°C], 64.16 RH, 0.9232 bar

[ 08:36:34 ]BEB2 :30 [°C], 64.03 RH, 0.9244 bar

[ 08:36:34 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:36:40 ]DAD1 :30 [°C], 63.89 RH, 0.9244 bar

[ 08:36:40 ]CCCC :30 [°C], 60.38 RH, 0.9238 bar

[ 08:36:40 ]CECE :30 [°C], 64.10 RH, 0.9244 bar

[ 08:36:40 ]BEB2 :30 [°C], 64.09 RH, 0.9244 bar

[ 08:36:41 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:36:43 ]CCCC :30 [°C], 60.35 RH, 0.9251 bar

[ 08:36:43 ]CECE :30 [°C], 64.07 RH, 0.9238 bar

[ 08:36:43 ]BEB2 :30 [°C], 64.11 RH, 0.9238 bar

[ 08:36:43 ]EEEE :28 [°C], 68.86 RH, 0.9244 bar

[ 08:36:43 ]DAD1 :30 [°C], 63.89 RH, 0.9225 bar

[ 08:36:46 ]BEB2 :30 [°C], 64.11 RH, 0.9244 bar

[ 08:36:46 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:36:46 ]CCCC :30 [°C], 60.35 RH, 0.9232 bar

[ 08:36:47 ]DAD1 :30 [°C], 63.89 RH, 0.9232 bar

[ 08:36:47 ]CECE :30 [°C], 64.04 RH, 0.9244 bar

[ 08:36:58 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:36:58 ]DAD1 :30 [°C], 63.85 RH, 0.9225 bar

[ 08:36:58 ]BEB2 :30 [°C], 64.06 RH, 0.9232 bar

[ 08:36:59 ]CCCC :30 [°C], 60.44 RH, 0.9238 bar

[ 08:36:59 ]CECE :30 [°C], 64.01 RH, 0.9232 bar

[ 08:37:01 ]CECE :30 [°C], 64.01 RH, 0.9244 bar

[ 08:37:01 ]DAD1 :30 [°C], 63.85 RH, 0.9232 bar

[ 08:37:02 ]BEB2 :30 [°C], 64.06 RH, 0.9232 bar

[ 08:37:02 ]CCCC :30 [°C], 60.38 RH, 0.9238 bar

[ 08:37:02 ]EEEE :28 [°C], 68.86 RH, 0.9244 bar

[ 08:37:05 ]EEEE :28 [°C], 68.89 RH, 0.9232 bar

[ 08:37:05 ]BEB2 :30 [°C], 64.03 RH, 0.9244 bar

[ 08:37:05 ]DAD1 :30 [°C], 63.85 RH, 0.9244 bar

[ 08:37:05 ]CECE :30 [°C], 63.98 RH, 0.9219 bar

[ 08:37:05 ]CCCC :30 [°C], 60.38 RH, 0.9232 bar

[ 08:37:08 ]CCCC :30 [°C], 60.35 RH, 0.9238 bar

[ 08:37:08 ]BEB2 :30 [°C], 64.00 RH, 0.9232 bar

[ 08:37:08 ]DAD1 :30 [°C], 63.85 RH, 0.9232 bar

[ 08:37:08 ]CECE :30 [°C], 63.98 RH, 0.9232 bar

[ 08:37:08 ]EEEE :28 [°C], 68.92 RH, 0.9244 bar

[ 08:37:14 ]DAD1 :30 [°C], 63.85 RH, 0.9225 bar

[ 08:37:14 ]EEEE :28 [°C], 68.95 RH, 0.9232 bar

[ 08:37:14 ]CCCC :30 [°C], 60.38 RH, 0.9251 bar

[ 08:37:14 ]BEB2 :30 [°C], 63.98 RH, 0.9232 bar

[ 08:37:14 ]CECE :30 [°C], 63.98 RH, 0.9238 bar

[ 08:37:17 ]DAD1 :30 [°C], 63.82 RH, 0.9232 bar

[ 08:37:17 ]CCCC :30 [°C], 60.44 RH, 0.9232 bar

[ 08:37:17 ]BEB2 :30 [°C], 63.98 RH, 0.9232 bar

[ 08:37:17 ]CECE :30 [°C], 63.95 RH, 0.9232 bar

[ 08:37:17 ]EEEE :28 [°C], 68.92 RH, 0.9232 bar

[ 08:37:26 ]EEEE :28 [°C], 68.92 RH, 0.9232 bar

[ 08:37:26 ]CECE :30 [°C], 63.95 RH, 0.9244 bar

[ 08:37:26 ]CCCC :30 [°C], 60.50 RH, 0.9251 bar

[ 08:37:26 ]DAD1 :30 [°C], 63.85 RH, 0.9238 bar

[ 08:37:26 ]BEB2 :30 [°C], 63.98 RH, 0.9244 bar

[ 08:37:32 ]EEEE :28 [°C], 68.95 RH, 0.9244 bar

[ 08:37:32 ]BEB2 :30 [°C], 64.00 RH, 0.9244 bar

[ 08:37:32 ]CECE :30 [°C], 63.92 RH, 0.9232 bar

[ 08:37:32 ]DAD1 :30 [°C], 63.85 RH, 0.9238 bar

[ 08:37:32 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 08:37:38 ]CCCC :30 [°C], 60.56 RH, 0.9238 bar

[ 08:37:38 ]CECE :30 [°C], 63.92 RH, 0.9219 bar

[ 08:37:38 ]BEB2 :30 [°C], 64.00 RH, 0.9244 bar

[ 08:37:38 ]EEEE :28 [°C], 68.92 RH, 0.9232 bar

[ 08:37:38 ]DAD1 :30 [°C], 63.82 RH, 0.9225 bar

[ 08:37:41 ]CCCC :30 [°C], 60.53 RH, 0.9232 bar

[ 08:37:41 ]EEEE :28 [°C], 68.92 RH, 0.9238 bar

[ 08:37:41 ]BEB2 :30 [°C], 63.95 RH, 0.9232 bar

[ 08:37:41 ]CECE :30 [°C], 63.92 RH, 0.9232 bar

[ 08:37:44 ]CECE :30 [°C], 63.92 RH, 0.9232 bar

[ 08:37:44 ]BEB2 :30 [°C], 63.95 RH, 0.9238 bar

[ 08:37:44 ]DAD1 :30 [°C], 63.71 RH, 0.9232 bar

[ 08:37:44 ]CCCC :30 [°C], 60.53 RH, 0.9238 bar

[ 08:37:50 ]DAD1 :30 [°C], 63.69 RH, 0.9251 bar

[ 08:37:50 ]BEB2 :30 [°C], 63.92 RH, 0.9238 bar

[ 08:37:50 ]CCCC :30 [°C], 60.53 RH, 0.9251 bar

[ 08:37:50 ]CECE :30 [°C], 63.92 RH, 0.9232 bar

[ 08:37:50 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:37:53 ]CECE :30 [°C], 63.92 RH, 0.9238 bar

[ 08:37:53 ]DAD1 :30 [°C], 63.69 RH, 0.9257 bar

[ 08:37:53 ]CCCC :30 [°C], 60.56 RH, 0.9238 bar

[ 08:37:53 ]BEB2 :30 [°C], 63.89 RH, 0.9238 bar

[ 08:37:53 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:37:59 ]BEB2 :30 [°C], 63.86 RH, 0.9232 bar

[ 08:37:59 ]CECE :30 [°C], 63.92 RH, 0.9219 bar

[ 08:37:59 ]CCCC :30 [°C], 60.56 RH, 0.9232 bar

[ 08:37:59 ]DAD1 :30 [°C], 63.71 RH, 0.9232 bar

[ 08:38:02 ]EEEE :28 [°C], 68.86 RH, 0.9244 bar

[ 08:38:02 ]DAD1 :30 [°C], 63.74 RH, 0.9225 bar

[ 08:38:02 ]BEB2 :30 [°C], 63.86 RH, 0.9251 bar

[ 08:38:02 ]CCCC :30 [°C], 60.53 RH, 0.9232 bar

[ 08:38:05 ]BEB2 :30 [°C], 63.86 RH, 0.9251 bar

[ 08:38:05 ]CECE :30 [°C], 63.89 RH, 0.9232 bar

[ 08:38:05 ]CCCC :30 [°C], 60.47 RH, 0.9238 bar

[ 08:38:05 ]EEEE :28 [°C], 68.86 RH, 0.9232 bar

[ 08:38:05 ]DAD1 :30 [°C], 63.77 RH, 0.9225 bar

[ 08:38:08 ]CCCC :30 [°C], 60.38 RH, 0.9232 bar

[ 08:38:08 ]DAD1 :30 [°C], 63.77 RH, 0.9251 bar

[ 08:38:08 ]BEB2 :30 [°C], 63.89 RH, 0.9244 bar

[ 08:38:08 ]EEEE :28 [°C], 68.86 RH, 0.9244 bar

[ 08:38:08 ]CECE :30 [°C], 63.86 RH, 0.9232 bar

[ 08:38:11 ]CCCC :30 [°C], 60.35 RH, 0.9232 bar

[ 08:38:11 ]BEB2 :30 [°C], 63.92 RH, 0.9244 bar

[ 08:38:11 ]DAD1 :30 [°C], 63.77 RH, 0.9251 bar

[ 08:38:11 ]EEEE :28 [°C], 68.84 RH, 0.9257 bar

[ 08:38:11 ]CECE :30 [°C], 63.86 RH, 0.9232 bar

[ 08:38:17 ]EEEE :28 [°C], 68.84 RH, 0.9232 bar

[ 08:38:17 ]CCCC :30 [°C], 60.29 RH, 0.9232 bar

[ 08:38:17 ]DAD1 :30 [°C], 63.77 RH, 0.9225 bar

[ 08:38:17 ]BEB2 :30 [°C], 63.89 RH, 0.9244 bar

[ 08:38:17 ]CECE :30 [°C], 63.83 RH, 0.9219 bar

[ 08:38:26 ]CECE :30 [°C], 63.86 RH, 0.9219 bar

[ 08:38:26 ]EEEE :28 [°C], 68.84 RH, 0.9232 bar

[ 08:38:26 ]DAD1 :30 [°C], 63.74 RH, 0.9238 bar

[ 08:38:26 ]CCCC :30 [°C], 60.29 RH, 0.9238 bar

[ 08:38:26 ]BEB2 :30 [°C], 63.89 RH, 0.9251 bar

[ 08:38:29 ]CCCC :30 [°C], 60.29 RH, 0.9251 bar

[ 08:38:29 ]EEEE :28 [°C], 68.84 RH, 0.9244 bar

[ 08:38:29 ]BEB2 :30 [°C], 63.89 RH, 0.9238 bar

[ 08:38:32 ]BEB2 :30 [°C], 63.92 RH, 0.9251 bar

[ 08:38:32 ]CCCC :30 [°C], 60.31 RH, 0.9232 bar

[ 08:38:32 ]DAD1 :30 [°C], 63.74 RH, 0.9238 bar

[ 08:38:32 ]EEEE :28 [°C], 68.81 RH, 0.9232 bar

[ 08:38:33 ]CECE :30 [°C], 63.83 RH, 0.9232 bar

[ 08:38:35 ]DAD1 :30 [°C], 63.74 RH, 0.9238 bar

[ 08:38:35 ]BEB2 :30 [°C], 63.92 RH, 0.9232 bar

[ 08:38:35 ]CECE :30 [°C], 63.80 RH, 0.9232 bar

[ 08:38:36 ]EEEE :28 [°C], 68.81 RH, 0.9251 bar

[ 08:38:36 ]CCCC :30 [°C], 60.35 RH, 0.9244 bar

[ 08:38:38 ]CCCC :30 [°C], 60.35 RH, 0.9251 bar

[ 08:38:38 ]EEEE :28 [°C], 68.84 RH, 0.9232 bar

[ 08:38:38 ]BEB2 :30 [°C], 63.89 RH, 0.9238 bar

[ 08:38:39 ]CECE :30 [°C], 63.80 RH, 0.9232 bar

[ 08:38:39 ]DAD1 :30 [°C], 63.77 RH, 0.9225 bar

[ 08:38:47 ]CECE :30 [°C], 63.77 RH, 0.9232 bar

[ 08:38:47 ]DAD1 :30 [°C], 63.74 RH, 0.9244 bar

[ 08:38:48 ]CCCC :30 [°C], 60.47 RH, 0.9251 bar

[ 08:38:48 ]EEEE :28 [°C], 68.78 RH, 0.9244 bar

[ 08:38:48 ]BEB2 :30 [°C], 63.86 RH, 0.9251 bar

[ 08:38:51 ]CECE :30 [°C], 63.74 RH, 0.9225 bar

[ 08:38:51 ]EEEE :28 [°C], 68.78 RH, 0.9244 bar

[ 08:38:51 ]DAD1 :30 [°C], 63.77 RH, 0.9232 bar

[ 08:38:51 ]BEB2 :30 [°C], 63.86 RH, 0.9238 bar

[ 08:38:54 ]BEB2 :30 [°C], 63.86 RH, 0.9232 bar

[ 08:38:54 ]EEEE :28 [°C], 68.75 RH, 0.9232 bar

[ 08:38:54 ]CCCC :30 [°C], 60.47 RH, 0.9251 bar

[ 08:38:54 ]DAD1 :30 [°C], 63.77 RH, 0.9238 bar

[ 08:38:54 ]CECE :30 [°C], 63.74 RH, 0.9219 bar

[ 08:38:57 ]DAD1 :30 [°C], 63.79 RH, 0.9232 bar

[ 08:38:57 ]EEEE :28 [°C], 68.75 RH, 0.9232 bar

[ 08:38:57 ]CECE :30 [°C], 63.74 RH, 0.9232 bar

[ 08:38:57 ]CCCC :30 [°C], 60.50 RH, 0.9238 bar

